2022 oct 13
Paramètres des simulations de chauffage RF
Simulations dans le dossier Rivendel/Simulations/20220617

|   cond  | N  | q_x|   f_x   |   f_z   |   ~a_x  | R/L | beta|
|---------|----|----|---------|---------|---------|-----|-----|
|DC05_RF05|0256|0.54|4.081e+05|3.227e+05|5.207e-02|1.099|0.408|
|DC06_RF06|0256|0.56|4.257e+05|3.356e+05|5.631e-02|1.125|0.426|
|DC07_RF07|0256|0.58|4.438e+05|3.486e+05|6.076e-02|1.100|0.444|
|DC08_RF08|0256|0.60|4.622e+05|3.617e+05|6.542e-02|1.120|0.462|
|DC09_RF09|0256|0.62|4.812e+05|3.749e+05|7.029e-02|1.126|0.481|
|DC10_RF10|0256|0.64|5.007e+05|3.883e+05|7.540e-02|1.143|0.501|
|DC11_RF11|0256|0.66|5.208e+05|4.018e+05|8.073e-02|1.161|0.521|
|DC12_RF12|0256|0.68|5.415e+05|4.155e+05|8.632e-02|1.169|0.542|
|DC13_RF13|0256|0.70|5.631e+05|4.293e+05|9.215e-02|1.176|0.563|
|DC03_RF03|0512|0.00|0.000e+00|0.000e+00|0.000e+00|1.095|0.000|
|DC04_RF04|0512|0.00|0.000e+00|0.000e+00|0.000e+00|1.095|0.000|
|DC05_RF05|0512|0.54|4.081e+05|3.227e+05|5.207e-02|1.095|0.408|
|DC06_RF06|0512|0.56|4.257e+05|3.356e+05|5.631e-02|1.095|0.426|
|DC07_RF07|0512|0.58|4.438e+05|3.486e+05|6.076e-02|1.103|0.444|
|DC08_RF08|0512|0.60|4.622e+05|3.617e+05|6.542e-02|1.104|0.462|
|DC09_RF09|0512|0.62|4.812e+05|3.749e+05|7.029e-02|1.111|0.481|
|DC10_RF10|0512|0.64|5.007e+05|3.883e+05|7.540e-02|1.129|0.501|
|DC11_RF11|0512|0.66|5.208e+05|4.018e+05|8.073e-02|1.139|0.521|
|DC12_RF12|0512|0.68|5.415e+05|4.155e+05|8.632e-02|1.151|0.542|
|DC13_RF13|0512|0.70|5.631e+05|4.293e+05|9.215e-02|1.170|0.563|
|DC05_RF05|1024|0.54|4.081e+05|3.227e+05|5.207e-02|1.128|0.408|
|DC06_RF06|1024|0.56|4.257e+05|3.356e+05|5.631e-02|1.139|0.426|
|DC07_RF07|1024|0.58|4.438e+05|3.486e+05|6.076e-02|1.141|0.444|
|DC08_RF08|1024|0.60|4.622e+05|3.617e+05|6.542e-02|1.154|0.462|
|DC09_RF09|1024|0.62|4.812e+05|3.749e+05|7.029e-02|1.170|0.481|
|DC10_RF10|1024|0.64|5.007e+05|3.883e+05|7.540e-02|1.177|0.501|
|DC11_RF11|1024|0.66|5.208e+05|4.018e+05|8.073e-02|1.196|0.521|
|DC12_RF12|1024|0.68|5.415e+05|4.155e+05|8.632e-02|1.198|0.542|
|DC13_RF13|1024|0.70|5.631e+05|4.293e+05|9.215e-02|1.214|0.563|
